country,allocKey,iso3,admin1,admin2,year,value
Ethiopia,9272598,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9272608,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9272609,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9272610,ETH,Amhara,North Gonder,2005,79.1
Ethiopia,9272611,ETH,Amhara,North Gonder,2005,64.4
Ethiopia,9272612,ETH,Amhara,North Gonder,2005,2182.6
Ethiopia,9272613,ETH,Amhara,North Gonder,2005,69.2
Ethiopia,9272614,ETH,Amhara,North Gonder,2005,63.7
Ethiopia,9272615,ETH,Amhara,North Gonder,2005,61.0
Ethiopia,9272616,ETH,Amhara,North Gonder,2005,61.1
Ethiopia,9272617,ETH,Amhara,North Gonder,2005,641.9
Ethiopia,9272620,ETH,Amhara,North Gonder,2005,45.5
Ethiopia,9282595,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9282596,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9282597,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9282598,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9282606,ETH,Amhara,North Gonder,2005,30.8
Ethiopia,9282607,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9282608,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9282609,ETH,Amhara,North Gonder,2005,81.9
Ethiopia,9282610,ETH,Amhara,North Gonder,2005,81.1
Ethiopia,9282611,ETH,Amhara,North Gonder,2005,75.6
Ethiopia,9282612,ETH,Amhara,North Gonder,2005,70.5
Ethiopia,9282613,ETH,Amhara,North Gonder,2005,66.5
Ethiopia,9282614,ETH,Amhara,North Gonder,2005,58.7
Ethiopia,9282615,ETH,Amhara,North Gonder,2005,1967.9
Ethiopia,9282616,ETH,Amhara,North Gonder,2005,59.9
Ethiopia,9282618,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9292595,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9292596,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9292597,ETH,Amhara,North Gonder,2005,0.0
Ethiopia,9292598,ETH,Amhara,North Gonder,2005,0.0
