country,allocKey,iso3,admin1,admin2,year,value,rowCol,row,col,x,y,percentage
Ethiopia,9522598,ETH,Amhara,Awi,2014,1.2615548413492512,2598 - 952,2598,952,36.4583333325,10.7083333329,7.582165654548659E-7
Ethiopia,9522599,ETH,Amhara,Awi,2014,2.9015761351032774,2599 - 952,2599,952,36.5416666658,10.7083333329,1.7438981005461912E-6
Ethiopia,9522600,ETH,Amhara,Awi,2014,2.144643230293727,2600 - 952,2600,952,36.6249999991,10.7083333329,1.288968161273272E-6
Ethiopia,9522601,ETH,Amhara,Awi,2014,27.375740057278755,2601 - 952,2601,952,36.7083333325,10.7083333329,1.645329947037059E-5
Ethiopia,9522602,ETH,Amhara,Awi,2014,28.889605866897853,2602 - 952,2602,952,36.7916666658,10.7083333329,1.7363159348916427E-5
Ethiopia,9522603,ETH,Amhara,Awi,2014,1234.9360341967822,2603 - 952,2603,952,36.8749999991,10.7083333329,7.422181959237682E-4
Ethiopia,9532597,ETH,Amhara,Awi,2014,0.7569329048095508,2597 - 953,2597,953,36.3749999991,10.6249999996,4.549299392729195E-7
Ethiopia,9532598,ETH,Amhara,Awi,2014,223.92598433949212,2598 - 953,2598,953,36.4583333325,10.6249999996,1.345834403682387E-4
Ethiopia,9532599,ETH,Amhara,Awi,2014,0.7569329048095508,2599 - 953,2599,953,36.5416666658,10.6249999996,4.549299392729195E-7
Ethiopia,9532601,ETH,Amhara,Awi,2014,4.541597428857305,2601 - 953,2601,953,36.7083333325,10.6249999996,2.7295796356375172E-6
Ethiopia,9532602,ETH,Amhara,Awi,2014,26.240340700064426,2602 - 953,2602,953,36.7916666658,10.6249999996,1.577090456146121E-5
Ethiopia,9462615,ETH,Amhara,East Gojam,2014,458.8274957987226,2615 - 946,2615,946,37.8749999991,11.2083333329,2.757633648559347E-4
Ethiopia,9472613,ETH,Amhara,East Gojam,2014,0.0,2613 - 947,2613,947,37.7083333325,11.1249999996,0.0
Ethiopia,9472614,ETH,Amhara,East Gojam,2014,0.0,2614 - 947,2614,947,37.7916666658,11.1249999996,0.0
Ethiopia,9472615,ETH,Amhara,East Gojam,2014,574.8905412028538,2615 - 947,2615,947,37.8749999991,11.1249999996,3.4551928887778234E-4
Ethiopia,9482614,ETH,Amhara,East Gojam,2014,68.88089433766912,2614 - 948,2614,948,37.7916666658,11.0416666663,4.139862447383568E-5
Ethiopia,9482615,ETH,Amhara,East Gojam,2014,622.4511587217206,2615 - 948,2615,948,37.8749999991,11.0416666663,3.741040533954308E-4
Ethiopia,9482616,ETH,Amhara,East Gojam,2014,618.540338713538,2616 - 948,2616,948,37.9583333325,11.0416666663,3.7175358204252074E-4
Ethiopia,9482617,ETH,Amhara,East Gojam,2014,0.0,2617 - 948,2617,948,38.0416666658,11.0416666663,0.0
Ethiopia,9482618,ETH,Amhara,East Gojam,2014,458.8274957987226,2618 - 948,2618,948,38.1249999991,11.0416666663,2.757633648559347E-4
Ethiopia,9482619,ETH,Amhara,East Gojam,2014,0.0,2619 - 948,2619,948,38.2083333325,11.0416666663,0.0
Ethiopia,9482620,ETH,Amhara,East Gojam,2014,520.6436830248359,2620 - 948,2620,948,38.2916666658,11.0416666663,3.129159765632231E-4
Ethiopia,9482621,ETH,Amhara,East Gojam,2014,473.71384292664385,2621 - 948,2621,948,38.3749999991,11.0416666663,2.847103203283021E-4
Ethiopia,9482622,ETH,Amhara,East Gojam,2014,285.4898605973356,2622 - 948,2622,948,38.4583333325,11.0416666663,1.7158440876243616E-4
Ethiopia,9492614,ETH,Amhara,East Gojam,2014,677.9595717410876,2614 - 949,2614,949,37.7916666658,10.9583333329,4.074655822754449E-4
Ethiopia,9492615,ETH,Amhara,East Gojam,2014,0.0,2615 - 949,2615,949,37.8749999991,10.9583333329,0.0
Ethiopia,9492616,ETH,Amhara,East Gojam,2014,665.2178678434602,2616 - 949,2616,949,37.9583333325,10.9583333329,3.9980759496435075E-4
Ethiopia,9492617,ETH,Amhara,East Gojam,2014,554.9579747095356,2617 - 949,2617,949,38.0416666658,10.9583333329,3.335394671435955E-4
Ethiopia,9492618,ETH,Amhara,East Gojam,2014,535.1515637003523,2618 - 949,2618,949,38.1249999991,10.9583333329,3.216354670659541E-4
Ethiopia,9492619,ETH,Amhara,East Gojam,2014,531.4930546604396,2619 - 949,2619,949,38.2083333325,10.9583333329,3.19436639026135E-4
Ethiopia,9492620,ETH,Amhara,East Gojam,2014,472.70459905356444,2620 - 949,2620,949,38.2916666658,10.9583333329,2.8410374707593824E-4
Ethiopia,9492621,ETH,Amhara,East Gojam,2014,460.84598354488145,2621 - 949,2621,949,38.3749999991,10.9583333329,2.769765113606625E-4
Ethiopia,9492622,ETH,Amhara,East Gojam,2014,459.20596225112746,2622 - 949,2622,949,38.4583333325,10.9583333329,2.7599082982557115E-4
Ethiopia,9502613,ETH,Amhara,East Gojam,2014,796.9241932803221,2613 - 950,2613,950,37.7083333325,10.8749999996,4.789654043978388E-4
Ethiopia,9502614,ETH,Amhara,East Gojam,2014,666.4794226848094,2614 - 950,2614,950,37.7916666658,10.8749999996,4.005658115298056E-4
Ethiopia,9502615,ETH,Amhara,East Gojam,2014,626.3619787299033,2615 - 950,2615,950,37.8749999991,10.8749999996,3.764545247483409E-4
Ethiopia,9502616,ETH,Amhara,East Gojam,2014,0.0,2616 - 950,2616,950,37.9583333325,10.8749999996,0.0
Ethiopia,9502617,ETH,Amhara,East Gojam,2014,566.4381237658139,2617 - 950,2617,950,38.0416666658,10.8749999996,3.404392378892348E-4
Ethiopia,9502618,ETH,Amhara,East Gojam,2014,537.1700514465111,2618 - 950,2618,950,38.1249999991,10.8749999996,3.228486135706819E-4
Ethiopia,9502619,ETH,Amhara,East Gojam,2014,516.8590185007882,2619 - 950,2619,950,38.2083333325,10.8749999996,3.106413268668585E-4
Ethiopia,9502620,ETH,Amhara,East Gojam,2014,433.34408800346785,2620 - 950,2620,950,38.2916666658,10.8749999996,2.6044739023374643E-4
Ethiopia,9502621,ETH,Amhara,East Gojam,2014,468.415312592977,2621 - 950,2621,950,38.3749999991,10.8749999996,2.815258107533917E-4
Ethiopia,9502622,ETH,Amhara,East Gojam,2014,460.46751709247667,2622 - 950,2622,950,38.4583333325,10.8749999996,2.76749046391026E-4
Ethiopia,9512614,ETH,Amhara,East Gojam,2014,708.7415098700094,2614 - 951,2614,951,37.7916666658,10.7916666663,4.259660664725436E-4
Ethiopia,9512615,ETH,Amhara,East Gojam,2014,607.8171225620692,2615 - 951,2615,951,37.8749999991,10.7916666663,3.653087412361544E-4
Ethiopia,9512616,ETH,Amhara,East Gojam,2014,612.6110309591965,2616 - 951,2616,951,37.9583333325,10.7916666663,3.6818996418488286E-4
Ethiopia,9512617,ETH,Amhara,East Gojam,2014,615.134140641895,2617 - 951,2617,951,38.0416666658,10.7916666663,3.697063973157926E-4
Ethiopia,9512618,ETH,Amhara,East Gojam,2014,618.414183229403,2618 - 951,2618,951,38.1249999991,10.7916666663,3.716777603859752E-4
Ethiopia,9512619,ETH,Amhara,East Gojam,2014,568.8350779643773,2619 - 951,2619,951,38.2083333325,10.7916666663,3.41879849363599E-4
Ethiopia,9512620,ETH,Amhara,East Gojam,2014,0.0,2620 - 951,2620,951,38.2916666658,10.7916666663,0.0
Ethiopia,9512621,ETH,Amhara,East Gojam,2014,0.0,2621 - 951,2621,951,38.3749999991,10.7916666663,0.0
Ethiopia,9512622,ETH,Amhara,East Gojam,2014,461.09829451315136,2622 - 951,2622,951,38.4583333325,10.7916666663,2.771281546737535E-4
Ethiopia,9522613,ETH,Amhara,East Gojam,2014,752.3913073806934,2613 - 952,2613,952,37.7083333325,10.7083333329,4.5220035963728196E-4
Ethiopia,9522614,ETH,Amhara,East Gojam,2014,726.9078995854387,2614 - 952,2614,952,37.7916666658,10.7083333329,4.3688438501509377E-4
Ethiopia,9522615,ETH,Amhara,East Gojam,2014,0.0,2615 - 952,2615,952,37.8749999991,10.7083333329,0.0
Ethiopia,9522616,ETH,Amhara,East Gojam,2014,0.0,2616 - 952,2616,952,37.9583333325,10.7083333329,0.0
Ethiopia,9522617,ETH,Amhara,East Gojam,2014,0.0,2617 - 952,2617,952,38.0416666658,10.7083333329,0.0
Ethiopia,9522618,ETH,Amhara,East Gojam,2014,649.1961213583247,2618 - 952,2618,952,38.1249999991,10.7083333329,3.90178244583074E-4
Ethiopia,9522619,ETH,Amhara,East Gojam,2014,655.503895565071,2619 - 952,2619,952,38.2083333325,10.7083333329,3.939693274103483E-4
Ethiopia,9522620,ETH,Amhara,East Gojam,2014,3.4061980716429785,2620 - 952,2620,952,38.2916666658,10.7083333329,2.047184726728138E-6
Ethiopia,9522621,ETH,Amhara,East Gojam,2014,0.0,2621 - 952,2621,952,38.3749999991,10.7083333329,0.0
Ethiopia,9522622,ETH,Amhara,East Gojam,2014,460.0890506400719,2622 - 952,2622,952,38.4583333325,10.7083333329,2.7652158142138955E-4
Ethiopia,9532611,ETH,Amhara,East Gojam,2014,489.10481199110467,2611 - 953,2611,953,37.5416666658,10.6249999996,2.9396056242685147E-4
Ethiopia,9532612,ETH,Amhara,East Gojam,2014,466.52298033095315,2612 - 953,2612,953,37.6249999991,10.6249999996,2.803884859052094E-4
Ethiopia,9532613,ETH,Amhara,East Gojam,2014,458.70134031458787,2613 - 953,2613,953,37.7083333325,10.6249999996,2.7568754319938927E-4
Ethiopia,9532614,ETH,Amhara,East Gojam,2014,482.7970377843585,2614 - 953,2614,953,37.7916666658,10.6249999996,2.901694795995772E-4
Ethiopia,9532615,ETH,Amhara,East Gojam,2014,645.285301350142,2615 - 953,2615,953,37.8749999991,10.6249999996,3.878277732301639E-4
Ethiopia,9532616,ETH,Amhara,East Gojam,2014,732.3325854032404,2616 - 953,2616,953,37.9583333325,10.6249999996,4.4014471624654965E-4
Ethiopia,9532617,ETH,Amhara,East Gojam,2014,753.7790177061777,2617 - 953,2617,953,38.0416666658,10.6249999996,4.5303439785928236E-4
Ethiopia,9532618,ETH,Amhara,East Gojam,2014,732.5848963715102,2618 - 953,2618,953,38.1249999991,10.6249999996,4.4029635955964065E-4
Ethiopia,9532619,ETH,Amhara,East Gojam,2014,669.5071543040477,2619 - 953,2619,953,38.2083333325,10.6249999996,4.0238553128689735E-4
